metric,value
source_raw_npz,literature_calibrated_no_raw_kmc
model,thermal_ald_10nm_pet_mocon
assumptions.dx_nm,0.5
assumptions.film_thickness_nm,10.0
assumptions.temperature_c,38.0
assumptions.rh_high,0.9
assumptions.rh_low,0.0
assumptions.wvtr_formula,"WVTR = D_eff * delta_C / L * 86400 * 1000, units g m^-2 day^-1"
assumptions.literature_sorbed_delta_c_kg_m3_from_C1_0.00677_g_cm3,6.77
assumptions.transport_assumption,Literature-calibrated continuum reference. Ptrans/FPT/Lpath/tau are not defined without a microscopic trajectory model.
assumptions.label,"10 nm thermal ALD Al2O3/PET, poorer-process literature-calibrated"
assumptions.literature_note,"RSC Advances 2017, thermal ALD 10 nm Al2O3 comparison; reported WVTR around 6.11e-1 g m^-2 day^-1."
assumptions.calibration_delta_c_kg_m3,6.77
Ptrans,nan
particles,
transmitted,
non_transmitted,
FPT_success_s.count,0
FPT_success_s.mean,
FPT_success_s.median,
FPT_success_s.std,
FPT_success_s.p01,
FPT_success_s.p05,
FPT_success_s.p10,
FPT_success_s.p25,
FPT_success_s.p75,
FPT_success_s.p90,
FPT_success_s.p95,
FPT_success_s.p99,
FPT_success_s.min,
FPT_success_s.max,
path_length_success_mm.count,0
path_length_success_mm.mean,
path_length_success_mm.median,
path_length_success_mm.std,
path_length_success_mm.p01,
path_length_success_mm.p05,
path_length_success_mm.p10,
path_length_success_mm.p25,
path_length_success_mm.p75,
path_length_success_mm.p90,
path_length_success_mm.p95,
path_length_success_mm.p99,
path_length_success_mm.min,
path_length_success_mm.max,
tortuosity_success.count,0
tortuosity_success.mean,
tortuosity_success.median,
tortuosity_success.std,
tortuosity_success.p01,
tortuosity_success.p05,
tortuosity_success.p10,
tortuosity_success.p25,
tortuosity_success.p75,
tortuosity_success.p90,
tortuosity_success.p95,
tortuosity_success.p99,
tortuosity_success.min,
tortuosity_success.max,
D_eff_m2_s.success_mean_FPT,1.0445730072761092e-17
D_eff_m2_s.success_median_FPT,
WVTR_g_m2_day.using_ideal_vapor_delta_c,0.0037503299170498386
WVTR_g_m2_day.using_user_delta_c,
WVTR_g_m2_day.using_literature_sorbed_C1_6p77_kg_m3,0.611
WVTR_g_m2_day.relative_WVTR_factor_equals_relative_D_eff,True
